MM-FIXAR-00305-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M10 X 1,50 X 100MM | 68
MM-FIXAR-00306-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M10 X 1,50 X 10MM | 65
MM-FIXAR-00307-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M10 X 1,50 X 15MM | 66
MM-FIXAR-00308-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M10 X 1,50 X 20MM | 66
MM-FIXAR-00309-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M10 X 1,50 X 30MM | 66
MM-FIXAR-00310-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M10 X 1,50 X 40MM | 67
MM-FIXAR-00311-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M10 X 1,50 X 50MM | 67
MM-FIXAR-00312-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M10 X 1,50 X 60MM | 67
MM-FIXAR-00313-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M10 X 1,50 X 65MM | 67
MM-FIXAR-00314-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M10 X 1,50 X 80MM | 67
MM-FIXAR-00315-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M10 X 1,50 X 90MM | 68
MM-FIXAR-00316-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M10 X 1,50 X 90MM | 68
MM-FIXAR-00317-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M12 X 1,75 X 20MM | 69
MM-FIXAR-00318-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M12 X 1,75 X 25MM | 69
MM-FIXAR-00319-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M12 X 1,75 X 35MM | 69
MM-FIXAR-00320-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M12 X 1,75 X 40MM | 69
MM-FIXAR-00321-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M12 X 1,75 X 50MM | 69
MM-FIXAR-00322-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M12 X 1,75 X 60MM | 69
MM-FIXAR-00323-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M12 X1,75 X 80MM | 158
MM-FIXAR-00324-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M16 X 2 X 30MM | 70
MM-FIXAR-00325-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M16 X 2 X 35 MM | 70
MM-FIXAR-00326-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M16 X 2 X 45MM | 71
MM-FIXAR-00327-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M16 X 2 X 50MM | 71
MM-FIXAR-00328-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M16 X 2 X 75MM | 71
MM-FIXAR-00329-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M16 X 2 X 80MM | 71
MM-FIXAR-00330-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M16 X 2 X 90MM | 71
MM-FIXAR-00331-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M18 X 2,50 X 30MM | 71
MM-FIXAR-00332-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M20 X 2,50 X 100MM | 158
MM-FIXAR-00335-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | | 62
MM-FIXAR-00337-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M4 X 0,70 X 10MM | 62
MM-FIXAR-00338-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | | 62
MM-FIXAR-00339-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | | 62
MM-FIXAR-00340-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | | 62
MM-FIXAR-00341-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | | 62
MM-FIXAR-00342-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | | 62
MM-FIXAR-00343-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | | 62
MM-FIXAR-00344-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | | 62
MM-FIXAR-00345-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M5 X 0,80 X 50MM | 62
MM-FIXAR-00346-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | | 63
MM-FIXAR-00347-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | | 63
MM-FIXAR-00348-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | | 63
MM-FIXAR-00352-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | | 62
MM-FIXAR-00358-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M8 X 1,25 X 40MM | 65
MM-FIXAR-00359-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M8 X 1,25 X 50MM | 65
MM-FIXAR-00360-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M8 X 1,25 X 60MM 8,8 RP | 65
MM-FIXAR-00361-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M8 X 1,25 X 70MM | 65
MM-FIXAR-00362-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | M8 X 1,25 X 90MM | 65
MM-FIXAR-00363-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | UNC 1/2 X 1 1/ POL | 74
MM-FIXAR-00364-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | UNC 1/4 X 1/2 POL | 72
MM-FIXAR-00365-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | UNC 5/16 X 1/2 POL | 72
MM-FIXAR-00366-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | UNC 1/4 X 3/4 POL | 72
MM-FIXAR-00367-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | UNC 3/8 X 1 POL | 73
MM-FIXAR-00369-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | UNC 5/16 X 1 1 POL | 73
MM-FIXAR-00370-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | UNC 5/16 X 1 POL | 73
MM-FIXAR-00371-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | UNC 3/8 X 1 POL | 73
MM-FIXAR-00372-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | UNC 7/16 X 1 1 POL | 74
MM-FIXAR-00373-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | UNC 7/16 X 1 POL | 74
MM-FIXAR-00374-00 | PARAFUSO CABEÇA SEXTAVADA | Fixação | FIXAR | | UNC 7/16 X 3/4 POL | 73
MM-FIXAR-00056-00 | PARAFUSO CHAPADO FENDA SIM AC | Fixação | FIXAR | | M10 ROSCA SOBERBA 10S | 108
MM-FIXAR-00057-00 | PARAFUSO CHAPADO FENDA SIM AC | Fixação | FIXAR | | M8 ROSCA SOBERBA 8S | 108
MM-FIXAR-00058-00 | PARAFUSO CHAPADO FENDA SIM AC | Fixação | FIXAR | | M12 ROSCA SOBERBA 12S | 108
MM-FIXAR-00378-00 | PARAFUSO WINDMOLLER 003270224 | Fixação | FIXAR | WINDMOLLER | 003270224 | 150
MM-FIXAR-00380-00 | PARAFUSO WINDMOLLER 003270234 | Fixação | FIXAR | WINDMOLLER | 003270234 | 150
MM-FIXAR-00381-00 | PARAFUSO WINDMOLLER 003270235 | Fixação | FIXAR | WINDMOLLER | 003270235 | 150
MM-FIXAR-00382-00 | PARAFUSO WINDMOLLER 003270240 | Fixação | FIXAR | WINDMOLLER | 003270240 | 152
MM-FIXAR-00383-00 | PARAFUSO WINDMOLLER 003270243 | Fixação | FIXAR | WINDMOLLER | 003270243 | 151
MM-FIXAR-00384-00 | PARAFUSO WINDMOLLER 003270254 | Fixação | FIXAR | WINDMOLLER | 003270254 | 151
MM-FIXAR-00385-00 | PARAFUSO WINDMOLLER 003270317 | Fixação | FIXAR | WINDMOLLER | 003270317 | 151
MM-FIXAR-00388-00 | PARAFUSO WINDMOLLER 03270185I | Fixação | FIXAR | WINDMOLLER | 03270185I | 152
MM-FIXAR-00377-00 | PARAFUSO WINDMOLLER DIN 912 GA 10.9. | Fixação | FIXAR | WINDMOLLER | 003270191 | 154
MM-FIXAR-00446-00 | PINO CÔNICO WINDMOLLER 003303104I - DIN 1 | Fixação | FIXAR | WINDMOLLER | 6 X 60MM | 157
MM-FIXAR-00421-00 | PINO DE ENGATE ROSCA BSP PNEUMATICO | Fixação | FIXAR | GARDEN | 1/4" | 218
MM-FIXAR-00422-00 | PINO ELASTICO PESADO | Fixação | FIXAR | | 1,50 X 10MM | 172
MM-FIXAR-00423-00 | PINO ELASTICO PESADO | Fixação | FIXAR | | 1,50 X 20MM | 172
MM-FIXAR-00424-00 | PINO ELASTICO PESADO | Fixação | FIXAR | | 10 X 140MM | 175
MM-FIXAR-00425-00 | PINO ELASTICO PESADO | Fixação | FIXAR | | 10 X 30MM | 175
MM-FIXAR-00426-00 | PINO ELASTICO PESADO | Fixação | FIXAR | | 10 X 50MM | 175
MM-FIXAR-00427-00 | PINO ELASTICO PESADO | Fixação | FIXAR | | 10 X 70MM | 175
MM-FIXAR-00428-00 | PINO ELASTICO PESADO | Fixação | FIXAR | | 12 X 50MM | 175
MM-FIXAR-00429-00 | PINO ELASTICO PESADO | Fixação | FIXAR | | 2,50 X 10MM | 172
